BranchID,TerminalOrder,PathPointIndex,PathEdgeIndex,SourceCurveIndex,CurvePointIndex,X_mm,Y_mm,Z_mm,SegmentLength_mm,CumulativeLength_mm,NormalizedProgress,IsTerminalSegment,Terminal_X_mm,Terminal_Y_mm,Terminal_Z_mm,TotalPathLength_mm,PathEdgeCount
Branch_002,2,34,2,11,1,-33.081928000,36.818501000,38.879490000,2.559613427,154.081739781,0.647488423,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,35,2,11,2,-34.981613000,40.218311000,38.837078000,3.894779829,157.976519609,0.663855222,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,36,3,12,1,-37.197227000,44.650524000,38.950371000,4.956439526,162.932959136,0.684683370,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,37,3,12,2,-39.077698000,48.744965000,39.314186000,4.520285349,167.453244485,0.703678693,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,38,3,12,3,-40.901249000,52.758144000,39.973698000,4.457117904,171.910362389,0.722408571,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,39,3,12,4,-42.725853000,56.560471000,40.943188000,4.327445116,176.237807505,0.740593533,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,40,3,12,5,-44.602505000,60.068466000,42.203861000,4.173385683,180.411193189,0.758131101,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,41,3,12,6,-46.556820000,63.258331000,43.715164000,4.034677508,184.445870697,0.775085783,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,42,3,12,7,-48.668339000,66.297379000,45.521130000,4.117746766,188.563617463,0.792389543,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,43,4,13,1,-50.579292000,68.882439000,47.314671000,3.681177242,192.244794705,0.807858732,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,44,5,14,1,-52.457863000,71.521378000,49.351467000,3.826429928,196.071224633,0.823938309,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,45,5,14,2,-54.050007000,74.205940000,51.548962000,3.817169098,199.888393731,0.839978969,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,46,5,14,3,-55.129581000,76.894508000,53.810669000,3.675485882,203.563879613,0.855424242,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,47,6,15,1,-55.721176000,80.070518000,56.517704000,4.214862116,207.778741729,0.873136103,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,48,6,15,2,-55.564167000,83.306961000,59.313175000,4.279471139,212.058212868,0.891119467,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,49,6,15,3,-54.214123000,87.843506000,63.320751000,6.201896866,218.260109734,0.917181325,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,50,7,16,1,-53.257683000,90.076660000,65.325134000,3.149492891,221.409602625,0.930416250,1,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,51,7,16,2,-51.393818000,93.324196000,68.309914000,4.788464729,226.198067353,0.950538527,1,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,52,7,16,3,-49.382771000,96.236526000,71.049629000,4.475713837,230.673781190,0.969346550,1,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,53,7,16,4,-47.521366000,98.624237000,73.342232000,3.797633593,234.471414783,0.985305117,1,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,54,7,16,5,-45.704964000,100.761110000,75.430984000,3.496916836,237.968331620,1.000000000,1,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_003,3,0,0,9,0,9.155164700,-94.828995000,43.316994000,0.000000000,0.000000000,0.000000000,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,1,0,9,1,8.745691300,-90.524384000,41.931053000,4.540724257,4.540724257,0.024304507,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,2,0,9,2,8.447949400,-85.977066000,40.628029000,4.739685937,9.280410194,0.049673968,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,3,0,9,3,8.306425100,-80.784424000,39.387024000,5.340754018,14.621164212,0.078260683,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,4,0,9,4,8.427463500,-75.420364000,38.457928000,5.445274039,20.066438250,0.107406848,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,5,0,9,5,8.845435100,-70.229225000,37.995411000,5.228436320,25.294874570,0.135392375,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,6,0,9,6,9.507898300,-65.372032000,38.028183000,4.902270427,30.197144997,0.161632080,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
